tconst,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,studio,domestic_gross,foreign_gross,release_year
tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",LG/S,18800000.0,42400000.0,2014
tt1171222,5.1,8296,Baggage Claim,Baggage Claim,2013,96.0,Comedy,FoxS,21600000.0,887000.0,2013
tt1181840,7.0,5494,Jack and the Cuckoo-Clock Heart,Jack et la mécanique du coeur,2013,94.0,"Adventure,Animation,Drama",Shout!,30640331.54076539,3400000.0,2014
tt1210166,7.6,326657,Moneyball,Moneyball,2011,133.0,"Biography,Drama,Sport",Sony,75600000.0,34600000.0,2011
tt1212419,6.5,87288,Hereafter,Hereafter,2010,129.0,"Drama,Fantasy,Romance",WB,32700000.0,72500000.0,2010
tt1229238,7.4,428142,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,2011,132.0,"Action,Adventure,Thriller",Par.,209400000.0,485300000.0,2011
tt1232829,7.2,477771,21 Jump Street,21 Jump Street,2012,109.0,"Action,Comedy,Crime",Sony,138400000.0,63100000.0,2012
tt1243974,5.4,54646,Aloha,Aloha,2015,105.0,"Comedy,Drama,Romance",Sony,21100000.0,5200000.0,2015
tt1261945,4.4,69199,Sex and the City 2,Sex and the City 2,2010,146.0,"Comedy,Drama,Romance",WB (NL),95300000.0,193000000.0,2010
tt1270761,5.6,44490,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,2010,99.0,"Fantasy,Horror,Thriller",FD,24000000.0,12900000.0,2011
tt1320239,6.2,18431,Burke and Hare,Burke and Hare,2010,91.0,"Comedy,Crime,History",IFC,4800.0,4300000.0,2011
tt1322312,6.3,54421,Going the Distance,Going the Distance,2010,102.0,"Comedy,Romance",WB (NL),17800000.0,24200000.0,2010
tt1403981,7.1,129443,Remember Me,Remember Me,2010,113.0,"Drama,Romance",Sum.,19100000.0,37000000.0,2010
tt1499658,6.9,398695,Horrible Bosses,Horrible Bosses,2011,98.0,"Comedy,Crime",WB (NL),117500000.0,92100000.0,2011
tt1535109,7.8,387402,Captain Phillips,Captain Phillips,2013,134.0,"Biography,Drama,Thriller",Sony,107100000.0,111700000.0,2013
tt1549572,7.0,85839,Another Earth,Another Earth,2011,92.0,"Drama,Romance,Sci-Fi",FoxS,1300000.0,456000.0,2011
tt1584131,3.7,1071,The Last Godfather,The Last Godfather,2010,100.0,"Comedy,Crime,Romance",RAtt.,164000.0,16600000.0,2011
tt1608290,4.7,59914,Zoolander 2,Zoolander 2,2016,101.0,Comedy,Par.,28800000.0,27900000.0,2016
tt1629757,7.2,28994,Chasing Mavericks,Chasing Mavericks,2012,116.0,"Biography,Drama,Sport",Fox,6000000.0,600.0,2012
tt1640484,5.7,9089,Jumping the Broom,Jumping the Broom,2011,112.0,"Comedy,Drama",TriS,37300000.0,415000.0,2011
tt1655416,6.2,4670,Mental,Mental,2012,116.0,"Comedy,Drama",Da.,17700.0,3600000.0,2013
tt1655420,7.0,79337,My Week with Marilyn,My Week with Marilyn,2011,99.0,"Biography,Drama",Wein.,14600000.0,20500000.0,2011
tt1659343,5.1,18206,Universal Soldier: Day of Reckoning,Universal Soldier: Day of Reckoning,2012,114.0,"Action,Horror,Mystery",Magn.,5500.0,364000.0,2012
tt1661420,7.3,12506,Polisse,Polisse,2011,127.0,"Crime,Drama",IFC,211000.0,20200000.0,2012
tt1663202,8.0,621193,The Revenant,The Revenant,2015,156.0,"Action,Adventure,Biography",Fox,183600000.0,349300000.0,2015
tt1680045,6.2,15096,360,360,2011,110.0,"Drama,Thriller",Magn.,100000.0,1600000.0,2012
tt1703958,5.8,5997,Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,2012,110.0,"Comedy,Drama,Romance",UTV,1200000.0,78430930.02516411,2012
tt1714206,7.1,133887,The Spectacular Now,The Spectacular Now,2013,95.0,"Comedy,Drama,Romance",A24,6900000.0,78430930.02516411,2013
tt1728196,7.4,6636,Hara-Kiri: Death of a Samurai,Ichimei,2011,128.0,Drama,Trib.,75700.0,3400000.0,2012
tt1728986,5.5,7359,Bol Bachchan,Bol Bachchan,2012,155.0,"Action,Comedy,Drama",FIP,1200000.0,27600000.0,2012
tt1758741,6.4,13,People Like Us,People Like Us,2010,55.0,Drama,BV,12400000.0,78430930.02516411,2012
tt0800054,7.8,68,The Guardians,The Guardians,2010,88.0,"Comedy,Family",MBox,177000.0,78430930.02516411,2018
tt0985694,6.6,182320,Machete,Machete,2010,105.0,"Action,Crime,Thriller",Fox,26600000.0,17500000.0,2010
tt10075374,8.3,6,The Little Prince,The Little Prince,2019,93.0,Action,EOne,1300000.0,96200000.0,2016
tt6769280,5.7,3455,Time Freak,Time Freak,2018,104.0,"Comedy,Drama,Romance",Grindstone,10000.0,256000.0,2018
tt6925204,5.4,14,Genius,Genius,2012,107.25874831763123,Drama,RAtt.,1400000.0,4300000.0,2016
tt7027278,6.0,4189,Kedarnath,Kedarnath,2018,116.0,"Drama,Romance",PackYourBag,901000.0,78430930.02516411,2018
tt7342204,7.4,1105,I Can Speak,Ai kaen seupikeu,2017,119.0,"Comedy,Drama",CJ,63200.0,78430930.02516411,2017
tt7433980,6.8,110,Last Night,Last Night,2017,104.0,Drama,Trib.,99000.0,7600000.0,2011
tt8108198,8.5,43409,Andhadhun,Andhadhun,2018,139.0,"Crime,Thriller",Eros,1200000.0,78430930.02516411,2018
tt0879870,5.8,77709,Eat Pray Love,Eat Pray Love,2010,133.0,"Drama,Romance",Sony,80600000.0,124000000.0,2010
tt0892318,6.6,86137,Letters to Juliet,Letters to Juliet,2010,105.0,"Adventure,Comedy,Drama",Sum.,53000000.0,26100000.0,2010
tt1092634,6.4,8662,Shanghai,Shanghai,2010,105.0,"Crime,Drama,Mystery",Wein.,46400.0,9200000.0,2015
tt1228705,7.0,657690,Iron Man 2,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",Par.,312400000.0,311500000.0,2010
tt1230120,5.5,12,Collide,Collide,2010,107.25874831763123,Action,ORF,2300000.0,2500000.0,2017
tt1365483,4.7,2397,Main Street,Main Street,2010,92.0,Drama,Magn.,2600.0,78430930.02516411,2011
tt1440161,6.3,26441,A Little Bit of Heaven,A Little Bit of Heaven,2011,106.0,"Comedy,Drama,Fantasy",MNE,15400.0,1300000.0,2012
tt1489889,6.3,138872,Central Intelligence,Central Intelligence,2016,107.0,"Action,Comedy,Crime",WB (NL),127400000.0,89500000.0,2016
tt1490785,5.8,5658,I Saw the Light,I Saw the Light,2015,123.0,"Biography,Drama,Music",SPC,1600000.0,78430930.02516411,2016
tt1533749,6.9,17777,Shaolin,Xin Shao Lin si,2011,131.0,"Action,Drama",Vari.,66100.0,33600000.0,2011
tt1572501,5.8,502,Beast,Beast,2011,83.0,"Drama,Thriller",RAtt.,800000.0,78430930.02516411,2018
tt1590193,6.3,83114,The Commuter,The Commuter,2018,105.0,"Action,Mystery,Thriller",LGF,36300000.0,83600000.0,2018
tt1596753,6.7,2314,Salinger,Salinger,2013,120.0,Documentary,Wein.,584000.0,67000.0,2013
tt1601913,6.8,228798,The Grey,The Grey,2011,117.0,"Action,Adventure,Drama",ORF,51600000.0,25700000.0,2012
tt1605777,5.4,5581,The Woman in the Fifth,La femme du Vème,2011,84.0,"Drama,Mystery,Thriller",ATO,114000.0,78430930.02516411,2012
tt1611224,5.9,142853,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,2012,105.0,"Action,Fantasy,Horror",Fox,37500000.0,79000000.0,2012
tt1618442,6.0,86118,The Last Witch Hunter,The Last Witch Hunter,2015,106.0,"Action,Adventure,Fantasy",LG/S,27400000.0,119600000.0,2015
tt1638364,7.3,6850,The Armstrong Lie,The Armstrong Lie,2013,124.0,"Biography,Documentary,Sport",SPC,383000.0,78430930.02516411,2013
tt1646127,6.4,971,Lights Out,Simon Werner a disparu...,2010,87.0,"Drama,Mystery,Thriller",WB (NL),67300000.0,81600000.0,2016
tt1706317,3.9,1951,Tezz,Tezz,2012,121.0,"Action,Crime,Thriller",Eros,230000.0,78430930.02516411,2012
tt1708537,8.1,608,The Whale,The Whale,2011,85.0,Documentary,Pala.,81900.0,78430930.02516411,2011
tt1714920,5.0,259,We Are Family,Moya bezumnaya semya,2012,100.0,Comedy,UTV,638000.0,393000.0,2010
tt1715336,6.5,19733,Anna,Anna,2013,99.0,"Drama,Mystery,Sci-Fi",VE,4300.0,78430930.02516411,2014
tt1772317,6.8,88,Nerve,Nerve,2011,83.0,"Comedy,Drama",LGF,38600000.0,46700000.0,2016
tt1855325,5.4,125191,Resident Evil: Retribution,Resident Evil: Retribution,2012,95.0,"Action,Horror,Sci-Fi",SGem,42300000.0,197700000.0,2012
tt0443272,7.4,228701,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",BV,182200000.0,93100000.0,2012
tt0462335,5.6,33746,High-Rise,High-Rise,2015,119.0,"Drama,Horror,Sci-Fi",Magn.,346000.0,78430930.02516411,2016
tt0481499,7.2,176699,The Croods,The Croods,2013,98.0,"Action,Adventure,Animation",Fox,187200000.0,400000000.0,2013
tt1038919,5.6,112444,The Bounty Hunter,The Bounty Hunter,2010,110.0,"Action,Comedy,Romance",Sony,67099999.0,69300000.0,2010
tt1143896,5.9,4664,Holy Rollers,Holy Rollers,2010,89.0,"Biography,Crime,Drama",FInd.,303000.0,305000.0,2010
tt1152822,6.4,6466,Freakonomics,Freakonomics,2010,93.0,Documentary,Magn.,101000.0,16400.0,2010
tt1155076,6.2,146401,The Karate Kid,The Karate Kid,2010,140.0,"Action,Drama,Family",Sony,176600000.0,182500000.0,2010
tt1219342,7.0,73790,Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,2010,97.0,"Action,Adventure,Animation",WB,55700000.0,84400000.0,2010
tt1229340,6.3,156116,Anchorman 2: The Legend Continues,Anchorman 2: The Legend Continues,2013,119.0,Comedy,Par.,125200000.0,46300000.0,2013
tt1242599,6.4,7321,Bellflower,Bellflower,2011,106.0,"Action,Drama,Romance",Osci.,168000.0,78430930.02516411,2011
tt1320253,6.5,307897,The Expendables,The Expendables,2010,103.0,"Action,Adventure,Thriller",LGF,103100000.0,171400000.0,2010
tt1334260,7.1,130084,Never Let Me Go,Never Let Me Go,2010,103.0,"Drama,Romance,Sci-Fi",FoxS,2400000.0,7000000.0,2010
tt1374989,5.8,46187,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,2016,108.0,"Action,Comedy,Horror",SGem,10900000.0,5500000.0,2016
tt1384927,7.1,3234,Death of a Superhero,Death of a Superhero,2011,97.0,"Animation,Drama",Trib.,600.0,78430930.02516411,2012
tt1386683,6.9,6259,A Somewhat Gentle Man,En ganske snill mann,2010,113.0,"Comedy,Crime,Drama",Strand,37700.0,1800000.0,2011
tt1414382,5.8,46690,You Again,You Again,2010,105.0,"Comedy,Family,Romance",BV,25700000.0,6300000.0,2010
tt1473832,6.5,60260,Bridget Jones's Baby,Bridget Jones's Baby,2016,123.0,"Comedy,Drama,Romance",Uni.,24300000.0,187700000.0,2016
tt1486192,6.4,79578,The Raven,The Raven,2012,110.0,"Crime,Mystery,Thriller",Rela.,16000000.0,13600000.0,2012
tt1515091,7.5,394189,Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,2011,129.0,"Action,Adventure,Crime",WB,186800000.0,358600000.0,2011
tt1570728,7.4,436830,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",2011,118.0,"Comedy,Drama,Romance",WB,84400000.0,58500000.0,2011
tt1618447,6.6,4352,Goodbye First Love,Un amour de jeunesse,2011,110.0,"Drama,Romance",IFC,95000.0,78430930.02516411,2012
tt1625150,7.2,7476,North Sea Texas,"Noordzee, Texas",2011,98.0,"Drama,Romance",Strand,28300.0,16700.0,2012
tt1628042,6.5,104,Gone,Gone,2011,85.0,Documentary,LG/S,11700000.0,6400000.0,2012
tt1641410,6.8,2798,Terraferma,Terraferma,2011,88.0,Drama,Cohen,20000.0,78430930.02516411,2013
tt1691917,5.7,39870,Planes,Planes,2013,91.0,"Adventure,Animation,Comedy",BV,90300000.0,149000000.0,2013
tt1692226,7.0,7,The Way,The Way,2010,107.0,Drama,PDA,4400000.0,78430930.02516411,2011
tt1716772,6.8,73217,The Inbetweeners Movie,The Inbetweeners Movie,2011,97.0,Comedy,WHE,36000.0,88000000.0,2012
tt1726888,7.1,2152,Clandestine Childhood,Infancia clandestina,2011,112.0,Drama,IFC,9000.0,78430930.02516411,2013
tt1772230,5.9,5534,1911,Xin hai ge ming,2011,121.0,"Action,Adventure,Drama",Vari.,136000.0,78430930.02516411,2011
tt1772288,7.0,27435,Danny Collins,Danny Collins,2015,106.0,"Biography,Comedy,Drama",BST,5600000.0,5200000.0,2015
tt1037705,6.9,271307,The Book of Eli,The Book of Eli,2010,118.0,"Action,Adventure,Drama",WB,94800000.0,62300000.0,2010
tt1072748,5.4,24351,Winchester,Winchester,2018,99.0,"Biography,Drama,Fantasy",LGF,25100000.0,78430930.02516411,2018
tt1120985,7.4,170089,Blue Valentine,Blue Valentine,2010,112.0,"Drama,Romance",Wein.,9700000.0,2600000.0,2010
tt1174042,6.3,3437,The Myth of the American Sleepover,The Myth of the American Sleepover,2010,96.0,"Comedy,Drama,Romance",IFC,41000.0,78430930.02516411,2011
tt1179933,7.2,260383,10 Cloverfield Lane,10 Cloverfield Lane,2016,103.0,"Drama,Horror,Mystery",Par.,72100000.0,38100000.0,2016
tt1211956,6.7,211587,Escape Plan,Escape Plan,2013,115.0,"Action,Crime,Mystery",LG/S,25100000.0,112200000.0,2013
tt1235189,6.8,33915,Wild Target,Wild Target,2010,98.0,"Action,Comedy,Crime",Free,109000.0,3300000.0,2010
tt1298649,5.7,115757,The Watch,The Watch,2012,102.0,"Action,Comedy,Horror",Fox,35400000.0,32900000.0,2012
tt1298650,6.6,447624,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011,136.0,"Action,Adventure,Fantasy",BV,241100000.0,804600000.0,2011
tt1323594,7.7,464511,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",Uni.,251500000.0,291600000.0,2010
tt1339161,6.8,4130,The Robber,Der Räuber,2010,90.0,"Biography,Crime,Drama",Kino,83500.0,125000.0,2011
tt1351685,6.3,123127,Jack the Giant Slayer,Jack the Giant Slayer,2013,114.0,"Adventure,Fantasy",WB (NL),65200000.0,132500000.0,2013
tt1401143,6.7,23923,Rare Exports: A Christmas Tale,Rare Exports,2010,84.0,"Adventure,Fantasy,Horror",Osci.,236000.0,3800000.0,2010
tt1413492,6.6,50155,12 Strong,12 Strong,2018,130.0,"Action,Drama,History",WB,45800000.0,21600000.0,2018
tt1417067,7.3,2336,Cirkus Columbia,Cirkus Columbia,2010,113.0,"Comedy,Drama,Romance",Strand,3500.0,9500.0,2012
tt1431122,4.2,1880,No Problem,No Problem,2010,139.0,"Action,Comedy,Crime",Eros,285000.0,369000.0,2010
tt1436045,7.6,58142,13 Assassins,Jûsan-nin no shikaku,2010,141.0,"Action,Adventure,Drama",Magn.,803000.0,16800000.0,2011
tt1438216,7.1,4740,Oranges and Sunshine,Oranges and Sunshine,2010,105.0,"Drama,History",Cohen,143000.0,2400000.0,2011
tt1540814,7.1,1522,Casino Jack and the United States of Money,Casino Jack and the United States of Money,2010,118.0,Documentary,Magn.,177000.0,78430930.02516411,2010
tt1563738,7.0,128094,One Day,One Day,2011,107.0,"Drama,Romance",Focus,13800000.0,45500000.0,2011
tt1570989,6.2,13397,Tiny Furniture,Tiny Furniture,2010,98.0,"Comedy,Drama,Romance",IFC,392000.0,78430930.02516411,2010
tt1583420,6.1,58927,Larry Crowne,Larry Crowne,2011,98.0,"Comedy,Drama,Romance",Uni.,35600000.0,36400000.0,2011
tt1591479,6.5,63787,Act of Valor,Act of Valor,2012,110.0,"Action,Adventure,Drama",Rela.,70000000.0,11300000.0,2012
tt1594972,3.6,7951,Norm of the North,Norm of the North,2016,90.0,"Adventure,Animation,Comedy",LGF,17100000.0,78430930.02516411,2016
tt1600207,6.3,1440,The Eye of the Storm,The Eye of the Storm,2011,114.0,Drama,SEG,83600.0,78430930.02516411,2012
tt1612774,5.8,31316,Rubber,Rubber,2010,82.0,"Comedy,Fantasy,Horror",Magn.,100000.0,78430930.02516411,2011
tt1618445,6.1,1773,The We and the I,The We and the I,2012,103.0,Drama,P/108,42200.0,78430930.02516411,2013
tt1627937,6.4,12,The Journey,The Journey,2010,107.25874831763123,Family,IFC,155000.0,78430930.02516411,2017
